Series,Episode
TOS,S1E14
TOS,S2E06
TOS,S2E19
TOS,S1E02
TOS,S1E26
TOS,S2E08
TOS,S2E24
TOS,S3E01
TOS,S2E02
TOS,S3E09
TOS,S1E28
TNG,S1E01/02
TNG,S1E13
TNG,S2E09
TNG,S2E16
TNG,S3E10
TNG,S3E15
TNG,S3E16
TNG,S3E17
TNG,S3E23
TNG,S3E26/S4E01
TNG,S4E03
TNG,S4E07
TNG,S4E21
TNG,S4E24
TNG,S4E26/S5E01
TNG,S5E03
TNG,S5E07/08
TNG,S5E25
TNG,S6E04
TNG,S6E10/11
TNG,S6E15
TNG,S7E11
TNG,S7E12
TNG,S7E24
TNG,S7E25/26
DS9,S3E11/12
DS9,S1E19
DS9,S7E08
DS9,S6E10
DS9,S5E12
DS9,S6E06
DS9,S3E05
DS9,S3E20
DS9,S3E21
DS9,S4E01/02
DS9,S5E06
DS9,S6E19
DS9,S4E03
DS9,S6E13
VOY,S5E10
VOY,S5E26/S6E01